Review Text,Review Date,Helpful Votes,Verified Purchase,Imp_Words,Sentiment,Sentiment Score,Positive_Sentence_Count,Negative_Sentence_Count,Neutral_Sentence_Count,Reliability,Review_Length
"Not good all the pens are getting leak and some are not working. My shirts have gone with pen leakage
Send good pens I will throw out all remaining pens.",Reviewed in India on 11 January 2025,0,Yes,11,NEGATIVE,-0.767,0,3,0,RELIABLE,30
Smooth writing,Reviewed in India on 16 October 2024,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
Around 25-30 pens are not working just thrown away .wrost .,Reviewed in India on 1 March 2025,0,Yes,4,NEGATIVE,-0.8,0,1,0,RELIABLE,11
I like this product it's good quality. I recommend to purchase in 25 nos quantity so it will be cheap.,Reviewed in India on 16 July 2024,0,Yes,7,POSITIVE,0.65,2,0,0,RELIABLE,20
"Writing experience is very good.
Super smooth ball pen.
Worthy product in terms of buying",Reviewed in India on 20 August 2024,0,Yes,12,POSITIVE,0.767,3,0,0,RELIABLE,15
This pen is so rough and very hard to write from this🤮🤮🤮,Reviewed in India on 23 February 2025,0,Yes,6,NEGATIVE,-0.8,0,1,0,RELIABLE,12
Value for money.,Reviewed in India on 29 September 2024,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
90%pen not working only money vest,Reviewed in India on 14 March 2025,0,Yes,3,NEGATIVE,-0.8,0,1,0,RELIABLE,6
"best for writing for long hours , buttery smooth.",Reviewed in India on 30 August 2024,0,Yes,7,POSITIVE,0.8,1,0,0,RELIABLE,9
"Not durable. At this MRP , it should have been better.
Delivery service good but packing not proper . ..",Reviewed in India on 13 May 2024,5,Yes,8,NEGATIVE,-0.433,0,2,1,RELIABLE,20
Very good product. Liked by everyone who used this.,Reviewed in India on 10 August 2024,0,Yes,4,POSITIVE,0.8,2,0,0,RELIABLE,9
"It was exactly what I wanted, it has a fine tip and is very comfortable
and cheap too 👍",Reviewed in India on 31 May 2024,0,Yes,7,POSITIVE,0.7,3,0,0,RELIABLE,19
"Click to play video
Very worst quality.
In the storage itself all pens leaked
Waste of my money.
I want give this pens to children's day in my school students.
But unfortunately I can't go that day otherwise all children's disappointed",Reviewed in India on 24 November 2024,0,Yes,22,NEGATIVE,-0.825,0,4,0,RELIABLE,41
"I had ordered pack of 50, first all the pens were not working. I asked for replacement, now the number of pens I received is less. Don't order these pens... Very disappointing experience.",Reviewed in India on 4 December 2024,0,Yes,15,NEGATIVE,-0.8,0,4,0,RELIABLE,33
Good to buy,Reviewed in India on 4 October 2023,0,Yes,1,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
"Must be good for kids. Lightweight, good blue colour, smooth slim writing. Overall as can be expected by Reynolds at this price",Reviewed in India on 18 March 2024,0,Yes,15,POSITIVE,0.55,3,0,1,RELIABLE,22
Non of the pen were working. I think the product is very old and the ink has dried… pls refrain from buying it,Reviewed in India on 4 December 2024,0,Yes,9,NEGATIVE,-0.35,0,2,2,RELIABLE,23
This is not original for sure,Reviewed in India on 27 September 2023,0,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,6
I ordered 2 box with 100 pens. out of 100 almost 80 pens are dry. Amazon should think over it and if possible return my money and take the pens back. Amazon is also involved in this fraud.,Reviewed in India on 12 November 2024,5,Yes,18,NEGATIVE,-0.6,0,4,1,RELIABLE,38
"I have bought and started using after 2 weeks . Not even one pen is working properly, waste of money. Never i will buy pens in amazon",Reviewed in India on 11 December 2024,0,Yes,13,NEGATIVE,-0.525,0,3,1,RELIABLE,27
All pen not written dry refill,Reviewed in India on 24 February 2025,0,Yes,3,NEGATIVE,-0.6,0,3,0,RELIABLE,6
"The quality of pen is very good and ink is ot superb color with great grip and no chance of leakage which makes its appearance good.
Getting 5 pens in less price is value for money.",Reviewed in India on 8 November 2023,0,Yes,24,POSITIVE,0.66,5,0,0,RELIABLE,36
Quality product Smoothness Writing like a marathon runner,Reviewed in India on 20 July 2024,0,Yes,7,POSITIVE,0.375,2,0,2,RELIABLE,8
"Mrp on that products is 290 at this platform
But the mrp on product which I have received is 125
I got this at 100, what is the big deal.",Reviewed in India on 6 February 2024,0,Yes,11,NEGATIVE,-0.48,0,4,1,RELIABLE,30
Osm product,Reviewed in India on 30 August 2024,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
"Pen are not working. Ink is also flowing. I want replacement I complained earlier also but no response
Poor quality",Reviewed in India on 4 December 2024,0,Yes,9,NEGATIVE,-0.6,0,5,0,RELIABLE,20
"Price and the quality, smoothness, thickness, brightness and appearance was so good",Reviewed in India on 20 June 2024,0,Yes,8,POSITIVE,0.66,5,0,0,RELIABLE,12
Value buying.Excellent badminton shoes with good cushioning effect and very comfortable.Original product.I enjoyed playing for 45 days .After that the top mesh cover got torn from right side top corner and after careful examination I observed that top mesh cover QUALITY is VERY BAD and top mesh will be getting torn from other side also in both sides of both left and right foot shoes.THE QUALITY OF TOP MESH COVER NEED TO BE IMPROVED SIGNIFICANTLY VERY SOON OTHERWISE other good fetaures will get defeated as shoes is not lasting for playing after just 45 days.I am attaching photos showing location where the topmesh cover got torn and then I had to get it repaired .The shoes are alomost new but for the repair patch on both sides of top mesh cover of both shoes .,Reviewed in India on 27 August 2024,8,Yes,81,NEGATIVE,-0.129,3,4,0,UNRELIABLE,135
"I had high expectations from Puma, but unfortunately, the product was a huge letdown. Within just two months of normal usage, the side of the shoes started to tear apart. I didn’t use them for any heavy activity—just casual, everyday wear. For a brand that claims durability and quality, this was completely unacceptable.

What’s worse, the material felt flimsy from the start, and now I can see why. I expected much more from a reputed brand like Puma, but this experience has made me question their quality control. Definitely not worth the price. I won’t be buying Puma again anytime soon.",Reviewed in India on 28 May 2025,0,Yes,55,NEGATIVE,-0.6,0,8,0,RELIABLE,101
"Overall product quality is good. I used this for squash. Nature of sport is that ANY shoe's top material with start to wear off within a couple of weeks. Sole traction is quite good, doesn't slip on wooden surface.

Only issue is that it is not suitable for people with wide feet, so I had to go up a size and that resulted in the heel part being loose and the shoe itself losing the snug feeling. Unfortunately, will have to go back to Asics for that.",Reviewed in India on 6 January 2025,0,Yes,48,POSITIVE,0.167,3,2,1,UNRELIABLE,87
"Click to play video
I've recently stared playing badminton, did got to know that a specific non marking sole shoe is required on synthetic mat badminton court. On based on reviews and PUMA brand reputation I bought these shoe. Its been nearly a month since I've purchased these shoes and I play badminton daily.
The shoe has worn out from the vamps. The stitching is very bad.
I've purchased these shoes on the basis of PUMA brand reputation and geniune unbiased Amazon reviews, but these shoes are pathetic.
DO NOT BUY THESE SHOES, YOU'LL REGRET IT LATER.",Reviewed in India on 10 July 2024,16,Yes,48,NEGATIVE,-0.657,0,7,0,RELIABLE,97
Very poor quality. Never buy again such type product. Damaged with in 6 month,Reviewed in India on 24 May 2025,0,Yes,11,NEGATIVE,-0.6,0,3,0,RELIABLE,14
"Product was looking fine and comfortable. But within less usage fabric began to show signs of wear, despite being careful with how I wore them.
For the price, I expected much better durability. The shoes felt comfortable initially, but the quality clearly doesn't match up with the brand's reputation. I wouldn't recommend them if you're looking for something that will last. Very disappointed with this purchase.",Reviewed in India on 29 March 2025,0,Yes,31,NEGATIVE,-0.6,0,6,0,RELIABLE,66
Poor quality shows damaged after 5 months.,Reviewed in India on 25 May 2025,0,Yes,5,NEGATIVE,-0.6,0,3,0,RELIABLE,7
"Shoes are good but will tear above right leg right top and left leg left top , at tiny finger toe ..! I'm 4-5 months ..!",Reviewed in India on 28 October 2024,0,Yes,14,NEGATIVE,-0.4,0,2,1,RELIABLE,26
Poor quality.. the top portion tear off quickly from left and right side of each foot. Also it creates a pain in the ankle of the footdur to poor fitment..not recommended to buy,Reviewed in India on 21 February 2025,0,Yes,21,NEGATIVE,-0.6,0,3,0,RELIABLE,33
"Not comfortable as per badminton shoes, this shoes only having non marking sole apart from that no comfort no softness and cusioning. Better to go with yonex/ nivea shoes

This is the revised feed back after using 2 months:- now one shoe got detoriated in just 8-9 games it is teared from side, totally disappointing from brand like Puma.",Reviewed in India on 18 January 2025,2,Yes,36,NEGATIVE,-0.2,1,2,1,UNRELIABLE,59
"Never buy this product. In just 2 months product damage. Not value for money. Trying to connect amazon customer service, Not taking action against seller. Useless seller and amazon customer service.",Reviewed in India on 30 May 2025,0,Yes,21,NEGATIVE,-0.633,0,6,0,RELIABLE,31
its puma so i thought product will be good,Reviewed in India on 28 February 2025,0,Yes,4,POSITIVE,0.3,1,0,1,RELIABLE,9
Not comfortable becoz of less cousioning. Shoe structure is good. Currently using this shoe with extra insole placed while playing.product could have been better at this price.,Reviewed in India on 1 September 2024,0,Yes,15,NEUTRAL,-0.08,1,2,2,UNRELIABLE,27
Very good comfort,Reviewed in India on 12 May 2025,0,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
"The product is as it is described and a perfect fit. The look and feel of the shoe is good and has a firm grip on the court. the ankle area could have be a little more harder and cushioned for greater stability. The shoe has a slightly wider front giving greater comfort.
The product quality matches it's price and I like it... but not comparable to a yonex, asics or victor.",Reviewed in India on 31 August 2024,0,Yes,33,POSITIVE,0.257,4,2,1,RELIABLE,72
"Value for money, fit, look best, grip good",Reviewed in India on 6 January 2025,0,Yes,6,POSITIVE,0.65,4,0,0,RELIABLE,8
The shoes worn out within 5 months of regular use.,Reviewed in India on 18 September 2024,0,Yes,7,NEGATIVE,-0.6,0,3,0,RELIABLE,10
"Very poor product, got torn in 6 days only. My friend also purchased the same and his shoe also torn in 10 days. It means Puma quality has become very poor now. it is not reliable now. It may be the cheating from amazon side. So do not waste your hard-earned money on this product. It is better buy a local shoe from market.",Reviewed in India on 21 October 2024,0,Yes,34,NEGATIVE,-0.743,0,7,0,RELIABLE,64
Nice looking 👌,Reviewed in India on 30 April 2025,0,Yes,1,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
Don’t buy puma.. I started using the shoe from Jan and in 5 months this is the condition,Reviewed in India on 23 May 2025,0,Yes,7,NEGATIVE,-0.7,0,2,0,RELIABLE,18
The quality is too bad.,Reviewed in India on 21 January 2025,3,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,5
No comfort considering brand and price. Regretting buying this shoes.,Reviewed in India on 6 January 2025,0,Yes,4,NEGATIVE,-0.7,0,2,0,RELIABLE,10
Uper का कपड़ा 3 mahine me fat gaya,Reviewed in India on 23 July 2024,0,Yes,3,NEGATIVE,-0.7,0,2,0,RELIABLE,8
Teared from side . Also colour is faded,Reviewed in India on 23 May 2025,0,Yes,4,NEGATIVE,-0.7,0,2,0,RELIABLE,8
Insole is not good. It feels very hard,Reviewed in India on 15 June 2024,0,Yes,4,NEGATIVE,-0.5,0,2,0,RELIABLE,8
Price little high rest all good,Reviewed in India on 26 June 2024,0,Yes,6,NEUTRAL,0.067,1,1,1,UNRELIABLE,6
Tried first time puma shoes but they disappointed me alot both shoe rupture in one month,Reviewed in India on 22 November 2024,0,Yes,10,NEGATIVE,-0.733,0,3,0,RELIABLE,16
"Just after wearing this shoes it started to loose stiches
And when contacted amazon they told that return window is closed so go for warranty claim to company.
When i called customer care they are saying that they will give vouchers only if the product is really damaged and that too we can ise in puma site only
Bery bad product and service from amazon also",Reviewed in India on 20 February 2025,0,Yes,33,NEGATIVE,-0.714,0,7,0,RELIABLE,66
Not value for money at all. The shoe broke in around 6 months. Won't recommend anyone to buy,Reviewed in India on 22 April 2025,0,Yes,9,NEGATIVE,-0.6,0,4,0,RELIABLE,18
Bought these shoes . Very poor quality. Within 6 months got tourned.,Reviewed in India on 1 May 2025,0,Yes,6,NEGATIVE,-0.4,0,1,1,RELIABLE,12
"Value for the money,comfortable to wear and lightweight .",Reviewed in India on 5 October 2024,0,Yes,5,POSITIVE,0.333,1,1,1,RELIABLE,9
I have used for 5 to 6times the shoe was toned.. Not very comfortable with the shoe.,Reviewed in India on 2 November 2024,0,Yes,6,NEUTRAL,0.0,1,1,1,UNRELIABLE,17
यह पुराने प्रोडक्ट मिला है,Reviewed in India on 21 March 2025,0,Yes,1,NEUTRAL,0.0,0,0,1,UNRELIABLE,5
"These are durable though Puma is not the badminton shoes brand.
I has pepperfly and yonex previously but it's equally good",Reviewed in India on 8 August 2024,0,Yes,10,POSITIVE,0.2,1,1,1,UNRELIABLE,21
"Quality not satisfactory, found tear in front face of shoes.. not preferable for badminton..",Reviewed in India on 30 October 2024,0,Yes,11,NEGATIVE,-0.267,1,1,1,RELIABLE,14
Upper mesh is damaged within 3 days use. It came out from stiching,Reviewed in India on 21 April 2025,0,Yes,7,NEGATIVE,-0.2,1,1,1,UNRELIABLE,13
"It is a size smaller than the regular sports shoe sizes.
Buy a size bigger than your regular measurement.",Reviewed in India on 15 February 2024,0,Yes,12,POSITIVE,0.2,1,1,1,UNRELIABLE,19
"A very short life span, tear was observed after 2 months of use. Not expected.",Reviewed in India on 13 April 2025,0,Yes,9,NEGATIVE,-0.2,1,1,1,UNRELIABLE,15
"Click to play video
I just used it for about 24 days for badminton only strictly in indoor professional badminton court. Disappointed to see shoe getting damaged..usage time roughly 24 days x 1.5 hours...I need to get replacement for same to restore my opinion about Puma...",Reviewed in India on 6 June 2024,3,Yes,28,NEUTRAL,-0.067,1,1,1,UNRELIABLE,46
"The shoes are nice and comfortable,
but by reading the other reviews I think it will be torn later .
But it fine till now ⭐⭐⭐⭐⭐",Reviewed in India on 9 February 2025,3,Yes,9,POSITIVE,0.25,2,1,1,RELIABLE,26
"Same issue with others, sides near fingers gets teared. Bad quality of build.",Reviewed in India on 24 October 2024,0,Yes,11,NEGATIVE,-0.133,1,1,1,UNRELIABLE,13
"I bought it @2000 Rs, so it's value for money otherwise it's an average product. You can go for this If you don't have much budget.",Reviewed in India on 20 June 2024,0,Yes,10,POSITIVE,0.2,2,1,1,UNRELIABLE,26
Superb shoes. The shoes are good quality and worth of money,Reviewed in India on 11 August 2024,0,Yes,8,POSITIVE,0.267,1,1,1,RELIABLE,11
"The box was broken but shoes were fine and it
is comfortable if you want a good shoe just buy it .buy it what are you looking buuuuyyyyyy iiittt.",Reviewed in India on 14 May 2024,0,Yes,9,NEUTRAL,0.1,1,1,1,UNRELIABLE,29
Poor quality material. Got holes within 3 months of regular use (1 hour play for 5 days a week). This is the shortest a badminton shoes has lasted for me.,Reviewed in India on 15 March 2025,0,Yes,18,NEGATIVE,-0.267,1,1,1,RELIABLE,30
"Shoe is not comfortable and also torn in front
Hence I want to replace it",Reviewed in India on 4 April 2025,0,Yes,6,NEGATIVE,-0.133,1,1,1,UNRELIABLE,15
Excellent Badminton shoes that I received at a great price during Black Friday Sale. The fit is great and the sole is made of gum rubber and appears to be quite grippy. There is sufficient room at the toe area while at the same time it provides a snug fit. It also doesn't appear to be heavy. Excellent option at this price.,Reviewed in India on 28 November 2023,0,Yes,34,POSITIVE,0.3,1,1,1,RELIABLE,62
Worst shoes.I trusted puma for so long but it turned out in a mont itself and fitting is also not good,Reviewed in India on 21 March 2025,2,Yes,12,NEGATIVE,-0.267,1,1,1,RELIABLE,21
Worst product. Quality is not at all good. Waste of hard earned money. Not recommended at all. It is torn within 3 months. Got cheated by Amazon.,Reviewed in India on 9 March 2025,3,Yes,16,NEGATIVE,-0.3,1,1,1,RELIABLE,27
Really great product,Reviewed in India on 22 February 2025,6,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,3
"Not comfortable at all,wastage of money ,plz don't buy it",Reviewed in India on 5 April 2025,3,Yes,7,NEGATIVE,-0.6,0,3,0,RELIABLE,10
It will not last more than 2 months because form the front side it will tear,Reviewed in India on 28 August 2024,2,Yes,5,NEGATIVE,-0.6,0,3,0,RELIABLE,16
"Dear Amazon Team,
I am writing to request a return for a pair of shoes I received on 13.06.2024. Unfortunately, I have noticed a defect in the shoes that occurred in the use of just a month. Which raises doubts on the reliability of the quality of the goods being sold by Amazon.
The issue is that the shoe is torn at the toe side.I would appreciate your assistance in initiating the return process and obtaining a replacement.

Thank you for your attention to this matter. I look forward to your prompt response.

Best regards,
Surendra Singh Raghuwanshi",Reviewed in India on 14 July 2024,0,Yes,50,NEGATIVE,-0.133,2,4,3,UNRELIABLE,98
Best quality,Reviewed in India on 25 July 2024,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
"Within 2 months, the shoe got torn from one side and the stitching of the shoe has also been broken. Very pathetic product. Totally wastage of money. Never buy this product specially from Amazon.",Reviewed in India on 9 February 2025,0,Yes,22,NEGATIVE,-0.65,0,4,0,RELIABLE,34
One of the worst shoes.... worn out in less than a month.,Reviewed in India on 28 March 2025,0,Yes,9,NEGATIVE,-0.6,0,3,0,RELIABLE,12
"It’s good enough at 2000/- bucks. Does not look cheap, does not feel heavy while playing, little too thin on core fabric, colour combination is good, durability I still have to notice. Overall I’m happy.",Reviewed in India on 3 February 2024,0,Yes,19,POSITIVE,0.4,3,0,3,RELIABLE,35
"Worst quality,it got tear from both side.. don't buy",Reviewed in India on 5 April 2025,6,Yes,5,NEGATIVE,-0.6,0,3,0,RELIABLE,9
"I bought these shoes for my son, who is a beginner in badminton. He wore them only during matches, and after just three games, the outer sole started coming off, as shown in the picture. This happened during a match, causing my son's ankle to twist, forcing him to give up. I strongly advise against using these shoes. It's not just the poor quality that bothers me; it's the physical injury my son suffered. I trusted the Puma brand, but this product is a major disappointment. I recommend opting for reliable brands like Yonex instead.",Reviewed in India on 26 May 2024,4,Yes,43,NEGATIVE,-1.111,0,9,0,RELIABLE,95
comfortable and very light,Reviewed in India on 30 January 2025,0,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,4
Comfort & grip is good ...,Reviewed in India on 26 June 2024,0,Yes,3,POSITIVE,1.0,2,0,0,RELIABLE,6
Both the shoes are side taring,Reviewed in India on 23 August 2024,3,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,6
"Holes are forming in the shoes on their own, absolutely useless product given",Reviewed in India on 15 March 2025,0,Yes,8,NEGATIVE,-1.2,0,3,0,RELIABLE,13
I think it’s first copy because of missing electronics strip,Reviewed in India on 29 March 2025,0,Yes,5,NEGATIVE,-1.0,0,2,0,RELIABLE,10
PRODUCT HAS NOT LASTED FOR 3 MONTS. PLEASE DO NOT BUY THIS PRODUCT. Puma is aware of this and they will offer you 50% of your money back. So you end up paying 50% for using shoes for 3 months.,Reviewed in India on 6 January 2025,0,Yes,17,NEGATIVE,-1.1,0,4,0,RELIABLE,40
Superb and very decent,Reviewed in India on 12 May 2024,0,Yes,3,NEUTRAL,0.0,0,0,1,UNRELIABLE,4
It is comfort and relax,Reviewed in India on 13 January 2025,2,Yes,1,NEUTRAL,0.0,0,0,1,UNRELIABLE,5
"Very bad
In a 15day it's broken from three side
Will never buy puma next time from amazone
Please keep good product",Reviewed in India on 16 February 2025,0,Yes,15,NEGATIVE,-1.1,0,4,0,RELIABLE,22
Pathetic quality. Shoes starting getting torned within only one month of use,Reviewed in India on 7 March 2025,0,Yes,9,NEGATIVE,-1.0,0,2,0,RELIABLE,12
Previous I bought the same puma shoe last one year but usage is very short period the right shoe was damage and cut the sole,Reviewed in India on 22 April 2025,4,Yes,15,NEGATIVE,-0.467,0,2,1,RELIABLE,25
Good equality product....,Reviewed in India on 10 January 2025,3,Yes,3,POSITIVE,0.133,1,1,1,UNRELIABLE,3
"Writing this review within the 1st week of usage. The shoes are quite comfortable with it’s breathable mesh fabric upper. The design also looks cool for those who love black. Seems sturdy with a good grip on wooden surface.
Will update more on durability with sustained usage of the shoe.
Tip: Great value for money when bought during one of the sale events (picked it up for 1649)",Reviewed in India on 10 May 2024,0,Yes,45,POSITIVE,0.6,5,0,1,RELIABLE,68
Quality is very bad with in 6 month it's tear down,Reviewed in India on 8 March 2025,0,Yes,8,NEGATIVE,-0.7,0,3,0,RELIABLE,11
"Very bad quality, cloth mesh got torn within the use of 3 -4 months.",Reviewed in India on 23 February 2025,0,Yes,9,NEGATIVE,-0.8,0,3,0,RELIABLE,14
Eventhough i have selected Size-12 it is still very tight. And the position of shoe is not appropriate,Reviewed in India on 3 May 2024,0,Yes,8,NEGATIVE,-0.55,0,2,0,RELIABLE,18
Product quality is bad,Reviewed in India on 30 March 2025,0,No,3,NEGATIVE,-0.7,0,3,0,RELIABLE,4
Low quality. Tear within 2 months,Reviewed in India on 11 June 2024,2,Yes,5,NEGATIVE,-0.7,0,3,0,RELIABLE,6
Bad quality. torn out in couple of months.,Reviewed in India on 2 March 2025,0,Yes,7,NEGATIVE,-0.7,0,3,0,RELIABLE,8
"Used to play badminton by my son, broke down in 8 days",Reviewed in India on 11 February 2025,0,Yes,6,NEGATIVE,-0.8,0,3,0,RELIABLE,12
Comfortable fit,Reviewed in India on 3 June 2024,0,Yes,2,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
Bad quality product. Damage with in 2 months,Reviewed in India on 25 February 2025,0,Yes,7,NEGATIVE,-0.7,0,3,0,RELIABLE,8
I found this shoes is very comfortable and worth money spent. Nicely stiched and good grip on wooden flooring od Badminton and squash court. It is also light weight. Well fit.,Reviewed in India on 15 August 2024,0,Yes,19,POSITIVE,0.65,4,0,0,RELIABLE,31
"The Size fits well, I feel the shoes has a good grip as the sole is the soul of the shoe both inner and outer sole are best in this deal it’s a best deal altogether.",Reviewed in India on 1 August 2024,0,Yes,18,POSITIVE,0.55,4,0,0,RELIABLE,36
This product is useless. Damaged within two months. I suggest don't buy it. It is not durable.,Reviewed in India on 19 January 2025,0,Yes,6,NEGATIVE,-0.75,0,4,0,RELIABLE,17
"Bad experience.

Purchased in November 2023 only to play badminton on synthetic turf that too four days a week. But it has been repaired for four times since then. That too both the shoes. Indeed a product using substandard material. Never expected such an experience from one of the best brand like Puma.... Hope the company will do something and waiting for some response thereafter... Thanks",Reviewed in India on 5 December 2023,0,Yes,37,NEGATIVE,-0.6,0,7,0,RELIABLE,66
I received this product on 6 June and started wearing it to play badminton for just 1 hour and that too 15-18 days a month and they got torn yesterday within 2 months. Not worth it. I suspect they might be a copy of puma shoes,Reviewed in India on 14 August 2024,0,Yes,18,NEGATIVE,-0.8,0,3,0,RELIABLE,46
Damaged piece in offer,Reviewed in India on 4 April 2024,0,Yes,3,NEGATIVE,-0.8,0,3,0,RELIABLE,4
"This item is veri poor product,cloths is not good this shooze,total west of money",Reviewed in India on 10 January 2025,0,Yes,11,NEGATIVE,-0.8,0,3,0,RELIABLE,14
"Poor quality,mash torn in 03 months on place of finger bending.Needs to replace since purchased more than 2300.",Reviewed in India on 29 November 2024,0,Yes,12,NEGATIVE,-0.7,0,3,0,RELIABLE,18
Perfect size and comfortable,Reviewed in India on 4 December 2023,0,Yes,2,POSITIVE,0.333,1,1,1,RELIABLE,4
"This shoe from PUMA has great stability on the floor, intended only for Badminton courts. It feels light weight and Puma should come up with different colours. If you ask me personally it’s worth the money you spend when compared to other badminton shoes available in other brand.",Reviewed in India on 27 January 2024,0,Yes,29,POSITIVE,0.44,3,1,1,RELIABLE,48
"Good, comfortable and perfect size,worthbuying",Reviewed in India on 7 October 2024,0,Yes,4,POSITIVE,0.6,3,0,1,RELIABLE,5
Not comfortable,Reviewed in India on 16 March 2024,0,Yes,1,NEUTRAL,0.0,0,0,1,UNRELIABLE,2
"I've been using this chair for a while, and it's been really effective in relieving my back pain, even during long hours of sitting. It's very comfortable and offers great support. The only issue I had was with the head cushion—it wasn't very comfortable, but since it's removable, I simply took it off. Overall, it's a great chair and definitely worth it for the comfort and support it provides.",Reviewed in India on 29 April 2025,0,Yes,35,POSITIVE,0.48,3,1,1,RELIABLE,69
"The chair is very comfortable and of superb quality and Cellbell support is always there to assist you on the warranty front. The movement of headrest, lumbar support is great. The Hand rests are very good in movement but just are on a bit short side. Rest the chair is good for its price as I am on a heavy side and it comfortably glides with me on it with its smooth wheels.",Reviewed in India on 22 April 2025,0,Yes,43,POSITIVE,0.44,3,1,1,RELIABLE,73
"The chair is comfortable and of decent quality. CELLBELL’s customer support is responsive and helpful, especially when it comes to warranty assistance. The headrest and lumbar support adjustments work smoothly, and the chair offers solid ergonomic comfort. The handrests function well and move freely, though they feel a bit short in length. I'm on the heavier side, yet the chair handles my weight with ease, gliding smoothly on its wheels. However, I did notice a few minor scratches upon delivery, which is why I’m giving it 4 stars instead of 5. Overall, a great value for the price.",Reviewed in India on 7 May 2025,0,Yes,52,POSITIVE,0.467,4,1,1,RELIABLE,98
"Absolutely loving this gaming chair! Super comfortable for long sessions, great build quality, and the design is top-notch. Totally worth the price. Highly recommended!",Reviewed in India on 16 April 2025,10,Yes,18,POSITIVE,1.0,4,0,0,RELIABLE,24
"I had high expectations for this gaming chair, but the experience has been nothing short of frustrating. First, the packaging was terrible—the box was barely holding together, and inside, a few plastic parts were already scratched. To make matters worse, the nuts and bolts had visible rust buildup, which is completely unacceptable for a brand-new product.

Then came the assembly nightmare. There was no instruction manual included, and to my surprise, there were also no proper assembly videos on YouTube. I had to struggle through trial and error, wasting hours just trying to put it together. A premium chair should at least come with clear setup instructions!

The biggest letdown, however, is the height adjustment. Even at its maximum setting, the chair feels too low, making it uncomfortable for gaming or office use. If this is the “max height,” then it’s essentially useless.

Overall, this purchase has been a complete waste of money. I’m not surprised you guys didn’t get a Shark Tank deal—the product quality and user experience are just not up to the mark. Would not recommend this chair to anyone.",Reviewed in India on 30 March 2025,0,Yes,103,NEGATIVE,-0.84,0,10,0,RELIABLE,183
"I would like to give 5 star ⭐⭐⭐⭐⭐,
It is really comfortable with a very good build quality

My working hours juta increased because of this chair,
My back also got a so much relief after this

This is my almost 10 Months experience with this chair",Reviewed in India on 9 May 2025,0,Yes,24,POSITIVE,0.667,4,0,2,RELIABLE,47
Super comfortable and easy to assemble—perfect for long work-from-home hours!,Reviewed in India on 25 April 2025,0,Yes,10,POSITIVE,0.6,2,0,1,RELIABLE,10
"Easy to Assemble
Good Quality",Reviewed in India on 12 April 2025,0,Yes,3,POSITIVE,0.6,2,0,1,RELIABLE,5
I liked the chair it's comfortable and cool,Reviewed in India on 31 May 2025,0,Yes,3,POSITIVE,0.333,1,0,2,RELIABLE,8
"No proper instructions or installment manual provided. Does including a text in the manual, it will be helpful. My hydraulic cylinder stopped almost after a week. I do got it through warranty. So the customer service is good.

But I am not satisfied with the chair itself and the instructions manual. It took me hour to install the chair. No proper video in cellbell youtube as well when I searched.

If you need one word it will be. Disappointment.",Reviewed in India on 21 April 2025,0,Yes,36,NEGATIVE,-0.5,2,8,0,RELIABLE,79
Product quality is good and easy to install,Reviewed in India on 24 April 2025,0,Yes,4,POSITIVE,0.467,2,0,1,RELIABLE,8
Very good chair in the budget. There was an issue with the wheelbase and team replaced the wheelbase free of cost. Amazing aftersales service.,Reviewed in India on 29 May 2025,0,Yes,16,POSITIVE,0.6,3,0,1,RELIABLE,24
Product is good but the base is damaged,Reviewed in India on 19 April 2025,0,Yes,3,NEUTRAL,-0.067,1,1,1,UNRELIABLE,8
Nice chair very comfortable feels like no more back pain.,Reviewed in India on 17 April 2025,0,Yes,8,POSITIVE,0.6,2,0,1,RELIABLE,10
"You can go for it , i think its worth to its price ,it is durable and quality of leather is also good👍",Reviewed in India on 27 May 2025,0,Yes,10,POSITIVE,0.45,2,0,2,RELIABLE,23
Best ergonomic chair,Reviewed in India on 14 April 2025,0,Yes,3,POSITIVE,0.333,1,0,2,RELIABLE,3
This chair is very nice and comfortable for long hrs working.,Reviewed in India on 9 April 2025,0,Yes,8,POSITIVE,0.8,2,0,0,RELIABLE,11
"I've been using this office chair for a few weeks now, and it has made a noticeable difference in my comfort and productivity. The ergonomic design provides solid lumbar support, which helps during long working hours. The seat cushion is firm yet comfortable,",Reviewed in India on 13 May 2025,0,Yes,24,POSITIVE,0.8,3,0,0,RELIABLE,43
